Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS3,Backbone,jashkenas/backbone,2010-10,6,6
OSS3,Backbone,jashkenas/backbone,2010-11,6,12
OSS3,Backbone,jashkenas/backbone,2010-12,8,20
OSS3,Backbone,jashkenas/backbone,2011-01,1,21
OSS3,Backbone,jashkenas/backbone,2011-02,6,27
OSS3,Backbone,jashkenas/backbone,2011-03,3,30
OSS3,Backbone,jashkenas/backbone,2011-04,2,32
OSS3,Backbone,jashkenas/backbone,2011-05,2,34
OSS3,Backbone,jashkenas/backbone,2011-06,5,39
OSS3,Backbone,jashkenas/backbone,2011-07,6,45
OSS3,Backbone,jashkenas/backbone,2011-08,2,47
OSS3,Backbone,jashkenas/backbone,2011-09,0,47
OSS3,Backbone,jashkenas/backbone,2011-10,1,48
OSS3,Backbone,jashkenas/backbone,2011-11,4,52
OSS3,Backbone,jashkenas/backbone,2011-12,4,56
OSS3,Backbone,jashkenas/backbone,2012-01,8,64
OSS3,Backbone,jashkenas/backbone,2012-02,5,69
OSS3,Backbone,jashkenas/backbone,2012-03,3,72
OSS3,Backbone,jashkenas/backbone,2012-04,4,76
OSS3,Backbone,jashkenas/backbone,2012-05,3,79
OSS3,Backbone,jashkenas/backbone,2012-06,5,84
OSS3,Backbone,jashkenas/backbone,2012-07,2,86
OSS3,Backbone,jashkenas/backbone,2012-08,0,86
OSS3,Backbone,jashkenas/backbone,2012-09,3,89
OSS3,Backbone,jashkenas/backbone,2012-10,2,91
OSS3,Backbone,jashkenas/backbone,2012-11,1,92
OSS3,Backbone,jashkenas/backbone,2012-12,18,110
OSS3,Backbone,jashkenas/backbone,2013-01,13,123
OSS3,Backbone,jashkenas/backbone,2013-02,4,127
OSS3,Backbone,jashkenas/backbone,2013-03,11,138
OSS3,Backbone,jashkenas/backbone,2013-04,1,139
OSS3,Backbone,jashkenas/backbone,2013-05,5,144
OSS3,Backbone,jashkenas/backbone,2013-06,3,147
OSS3,Backbone,jashkenas/backbone,2013-07,1,148
OSS3,Backbone,jashkenas/backbone,2013-08,0,148
OSS3,Backbone,jashkenas/backbone,2013-09,0,148
OSS3,Backbone,jashkenas/backbone,2013-10,2,150
OSS3,Backbone,jashkenas/backbone,2013-11,3,153
OSS3,Backbone,jashkenas/backbone,2013-12,0,153
OSS3,Backbone,jashkenas/backbone,2014-01,0,153
OSS3,Backbone,jashkenas/backbone,2014-02,6,159
OSS3,Backbone,jashkenas/backbone,2014-03,0,159
OSS3,Backbone,jashkenas/backbone,2014-04,2,161
OSS3,Backbone,jashkenas/backbone,2014-05,0,161
OSS3,Backbone,jashkenas/backbone,2014-06,1,162
OSS3,Backbone,jashkenas/backbone,2014-07,1,163
OSS3,Backbone,jashkenas/backbone,2014-08,0,163
OSS3,Backbone,jashkenas/backbone,2014-09,1,164
OSS3,Backbone,jashkenas/backbone,2014-10,2,166
OSS3,Backbone,jashkenas/backbone,2014-11,0,166
OSS3,Backbone,jashkenas/backbone,2014-12,0,166
OSS3,Backbone,jashkenas/backbone,2015-01,2,168
OSS3,Backbone,jashkenas/backbone,2015-02,2,170
OSS3,Backbone,jashkenas/backbone,2015-03,1,171
OSS3,Backbone,jashkenas/backbone,2015-04,1,172
OSS3,Backbone,jashkenas/backbone,2015-05,3,175
OSS3,Backbone,jashkenas/backbone,2015-06,1,176
OSS3,Backbone,jashkenas/backbone,2015-07,1,177
OSS3,Backbone,jashkenas/backbone,2015-08,1,178
OSS3,Backbone,jashkenas/backbone,2015-09,1,179
OSS3,Backbone,jashkenas/backbone,2015-10,1,180
OSS3,Backbone,jashkenas/backbone,2015-11,0,180
OSS3,Backbone,jashkenas/backbone,2015-12,1,181
OSS3,Backbone,jashkenas/backbone,2016-01,0,181
OSS3,Backbone,jashkenas/backbone,2016-02,1,182
OSS3,Backbone,jashkenas/backbone,2016-03,1,183
OSS3,Backbone,jashkenas/backbone,2016-04,0,183
OSS3,Backbone,jashkenas/backbone,2016-05,0,183
OSS3,Backbone,jashkenas/backbone,2016-06,0,183
OSS3,Backbone,jashkenas/backbone,2016-07,0,183
OSS3,Backbone,jashkenas/backbone,2016-08,0,183
OSS3,Backbone,jashkenas/backbone,2016-09,0,183
OSS3,Backbone,jashkenas/backbone,2016-10,0,183
OSS3,Backbone,jashkenas/backbone,2016-11,0,183
OSS3,Backbone,jashkenas/backbone,2016-12,0,183
OSS3,Backbone,jashkenas/backbone,2017-01,0,183
OSS3,Backbone,jashkenas/backbone,2017-02,0,183
OSS3,Backbone,jashkenas/backbone,2017-03,0,183
OSS3,Backbone,jashkenas/backbone,2017-04,0,183
OSS3,Backbone,jashkenas/backbone,2017-05,0,183
OSS3,Backbone,jashkenas/backbone,2017-06,0,183
OSS3,Backbone,jashkenas/backbone,2017-07,1,184
OSS3,Backbone,jashkenas/backbone,2017-08,0,184
OSS3,Backbone,jashkenas/backbone,2017-09,1,185
OSS3,Backbone,jashkenas/backbone,2017-10,0,185
OSS3,Backbone,jashkenas/backbone,2017-11,0,185
OSS3,Backbone,jashkenas/backbone,2017-12,0,185
OSS3,Backbone,jashkenas/backbone,2018-01,0,185
OSS3,Backbone,jashkenas/backbone,2018-02,1,186
OSS3,Backbone,jashkenas/backbone,2018-03,0,186
OSS3,Backbone,jashkenas/backbone,2018-04,0,186
OSS3,Backbone,jashkenas/backbone,2018-05,0,186
OSS3,Backbone,jashkenas/backbone,2018-06,0,186
OSS3,Backbone,jashkenas/backbone,2018-07,0,186
OSS3,Backbone,jashkenas/backbone,2018-08,0,186
OSS3,Backbone,jashkenas/backbone,2018-09,0,186
OSS3,Backbone,jashkenas/backbone,2018-10,1,187
OSS3,Backbone,jashkenas/backbone,2018-11,0,187
OSS3,Backbone,jashkenas/backbone,2018-12,0,187
OSS3,Backbone,jashkenas/backbone,2019-01,0,187
OSS3,Backbone,jashkenas/backbone,2019-02,0,187
OSS3,Backbone,jashkenas/backbone,2019-03,0,187
OSS3,Backbone,jashkenas/backbone,2019-04,0,187
OSS3,Backbone,jashkenas/backbone,2019-05,0,187
OSS3,Backbone,jashkenas/backbone,2019-06,0,187
OSS3,Backbone,jashkenas/backbone,2019-07,0,187
OSS3,Backbone,jashkenas/backbone,2019-08,0,187
OSS3,Backbone,jashkenas/backbone,2019-09,0,187
OSS3,Backbone,jashkenas/backbone,2019-10,0,187
OSS3,Backbone,jashkenas/backbone,2019-11,0,187
OSS3,Backbone,jashkenas/backbone,2019-12,0,187
OSS3,Backbone,jashkenas/backbone,2020-01,0,187
OSS3,Backbone,jashkenas/backbone,2020-02,0,187
OSS3,Backbone,jashkenas/backbone,2020-03,1,188
OSS3,Backbone,jashkenas/backbone,2020-04,0,188
OSS3,Backbone,jashkenas/backbone,2020-05,0,188
OSS3,Backbone,jashkenas/backbone,2020-06,0,188
OSS3,Backbone,jashkenas/backbone,2020-07,0,188
OSS3,Backbone,jashkenas/backbone,2020-08,0,188
OSS3,Backbone,jashkenas/backbone,2020-09,0,188
OSS3,Backbone,jashkenas/backbone,2020-10,1,189
OSS3,Backbone,jashkenas/backbone,2020-11,0,189
OSS3,Backbone,jashkenas/backbone,2020-12,0,189
OSS3,Backbone,jashkenas/backbone,2021-01,0,189
OSS3,Backbone,jashkenas/backbone,2021-02,0,189
OSS3,Backbone,jashkenas/backbone,2021-03,0,189
OSS3,Backbone,jashkenas/backbone,2021-04,0,189
OSS3,Backbone,jashkenas/backbone,2021-05,0,189
OSS3,Backbone,jashkenas/backbone,2021-06,0,189
OSS3,Backbone,jashkenas/backbone,2021-07,0,189
OSS3,Backbone,jashkenas/backbone,2021-08,0,189
OSS3,Backbone,jashkenas/backbone,2021-09,0,189
OSS3,Backbone,jashkenas/backbone,2021-10,0,189
OSS3,Backbone,jashkenas/backbone,2021-11,0,189
OSS3,Backbone,jashkenas/backbone,2021-12,0,189
OSS3,Backbone,jashkenas/backbone,2022-01,0,189
OSS3,Backbone,jashkenas/backbone,2022-02,0,189
OSS3,Backbone,jashkenas/backbone,2022-03,0,189
OSS3,Backbone,jashkenas/backbone,2022-04,0,189
OSS3,Backbone,jashkenas/backbone,2022-05,0,189
OSS3,Backbone,jashkenas/backbone,2022-06,0,189
OSS3,Backbone,jashkenas/backbone,2022-07,0,189
OSS3,Backbone,jashkenas/backbone,2022-08,0,189
OSS3,Backbone,jashkenas/backbone,2022-09,0,189
OSS3,Backbone,jashkenas/backbone,2022-10,0,189
OSS3,Backbone,jashkenas/backbone,2022-11,0,189
OSS3,Backbone,jashkenas/backbone,2022-12,0,189
OSS3,Backbone,jashkenas/backbone,2023-01,1,190
